ticket_id,caller,short_description,description,business_service,assignment_group,priority,resolution_notes,created_date,status
INC001001,Maria Cohen,Opera PMS not loading guest reservations,Front desk agents report that the Opera PMS dashboard is stuck on a loading screen when trying to open today's arrivals list. Multiple workstations affected at the front desk. Guests are waiting to check in.,Property Management System,PMS Support Team,1 - Critical,Restarted Opera PMS application service on the application server and cleared the session cache. Front desk confirmed reservations loaded normally after restart.,2026-02-14 00:28:49,Resolved
INC001002,Aisha Ivanov,"Unable to check in guest, room status shows dirty",Front desk cannot check in a guest because Opera PMS shows the assigned room as 'dirty' even though housekeeping marked it clean an hour ago.,Property Management System,PMS Support Team,2 - High,Housekeeping status had not synced due to a stale cache. Forced a manual room status refresh in Opera PMS and verified the room updated to clean/vacant.,2026-06-03 07:31:49,Resolved
INC001004,Daniel Garcia,Opera PMS rate plan missing for upcoming promotion,Reservations team cannot find the new summer promotion rate plan in Opera PMS. The rate code was supposedly loaded yesterday by revenue management.,Property Management System,PMS Support Team,3 - Moderate,Rate plan was created in the test environment instead of production. Migrated rate code to production Opera PMS instance and confirmed visibility in booking screen.,2025-09-05 00:51:49,Resolved
INC001008,Daniel Costa,Simphony POS terminal frozen at restaurant,"The POS terminal at the main restaurant is frozen on the payment screen. Staff cannot process any guest payments, line is building up.",Point of Sale System,POS Support Team,1 - Critical,"Terminal had lost connection to the POS controller. Rebooted the terminal and the local POS controller, payments resumed normally.",2025-08-21 22:45:49,Resolved
INC001009,Noah Ivanov,Credit card payments failing at pool bar POS,Pool bar staff report that credit card transactions are being declined on the Simphony POS even though the card reader appears connected.,Point of Sale System,POS Support Team,2 - High,Payment gateway certificate had expired on the terminal. Pushed updated certificate via POS management console and verified test transaction succeeded.,2025-12-26 23:27:49,Resolved
INC001011,Carlos Nguyen,Menu item prices incorrect on POS,Several menu items at the lobby bar are showing outdated prices on the Simphony POS after the new menu rollout this morning.,Point of Sale System,POS Support Team,3 - Moderate,Menu price sync job had failed silently overnight. Re-ran the menu sync job manually and verified updated prices reflected on terminal.,2026-05-02 19:30:49,Resolved
INC001014,Emma Cohen,POS receipt printer not printing,"Receipt printer connected to the breakfast restaurant POS terminal is not printing guest receipts, though kitchen order tickets print fine.",Point of Sale System,POS Support Team,4 - Low,Receipt printer paper roll was incorrectly loaded. Reloaded paper roll correctly and printed test receipt successfully.,2026-05-27 08:07:49,Resolved
INC001015,Yuki Khan,Booking engine showing no availability for fully open dates,Guests calling in say the website booking engine shows 'no rooms available' for dates that have plenty of open inventory in Opera PMS.,Property Management System,PMS Support Team,1 - Critical,Inventory sync between Opera PMS and the booking engine had stalled due to an API timeout. Restarted the sync connector service and confirmed availability now matches PMS.,2025-09-09 21:43:49,Resolved
INC001018,Priya Khan,Booking engine confirmation emails not sending,"Guests who complete a reservation on the booking engine are not receiving confirmation emails, though the booking is created correctly in the system.",Booking & Reservations Platform,Reservations Systems Team,2 - High,Outbound email relay credentials had expired. Updated SMTP relay credentials in the booking engine configuration and resent a test confirmation successfully.,2026-05-26 10:22:49,Resolved
INC001021,Aisha Silva,Booking engine displaying wrong currency for international guests,International guests report the booking engine displays prices in USD instead of their local currency selection.,Booking & Reservations Platform,Reservations Systems Team,3 - Moderate,Currency conversion service API key had been rotated without updating the booking engine config. Updated the API key and verified currency switching worked correctly.,2026-04-28 19:19:49,Resolved
